"","MP_Start","MP_End","Section_Length","AADT","Total_Crashes","Fatal_Crashes","Injury_Crashes","Prop_Dam_Only_Crashes","Crash_Rate","County","Cross_Section","LATITUDE","LONGTUDE","Lanes","Shoulder","Median","route"
"1",3.1,3.3,0.26,7176,5,0,2,3,7.32,"CAPE MAY","2 Lanes With Shoulder",38.9670461518,-74.9149048602,"2","With",NA,"US 9"
"2",3.3,3.4,0.08,7176,0,0,0,0,0,"CAPE MAY","2 Lanes Without Shoulder",38.9698601368,-74.9142193964,"2","Without",NA,"US 9"
"3",3.4,3.8,0.41,9533,1,0,0,1,0.7,"CAPE MAY","2 Lanes Without Shoulder",38.9711664627,-74.9132852103,"2","Without",NA,"US 9"
"4",3.8,6.6,2.82,9533,9,0,2,7,0.91,"CAPE MAY","2 Lanes With Shoulder",38.9763687701,-74.909573395,"2","With",NA,"US 9"
"5",6.6,6.7,0.02,9533,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.0089474247,-74.8815146602,"2","With",NA,"US 9"
"6",6.7,6.8,0.11,11258,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.0098704402,-74.8801422159,"2","With",NA,"US 9"
"7",6.8,7.1,0.33,11258,13,0,3,10,9.56,"CAPE MAY",NA,39.0109550319,-74.878926804,NA,NA,NA,"US 9"
"8",7.1,7.3,0.21,11258,14,0,2,12,16.18,"CAPE MAY",NA,39.0147774698,-74.8758737954,NA,NA,NA,"US 9"
"9",7.3,7.8,0.45,11258,16,0,3,13,8.63,"CAPE MAY","2 Lanes Without Shoulder",39.0168868045,-74.8736399018,"2","Without",NA,"US 9"
"10",7.8,8,0.25,11258,3,0,1,2,2.91,"CAPE MAY","2 Lanes Without Shoulder",39.0230964831,-74.8686412301,"2","Without",NA,"US 9"
"11",8,8.4,0.43,12999,5,0,1,4,2.44,"CAPE MAY","2 Lanes Without Shoulder",39.0255406906,-74.8668141096,"2","Without",NA,"US 9"
"12",8.4,9,0.57,12999,2,0,2,0,0.74,"CAPE MAY","2 Lanes With Shoulder",39.0300262876,-74.8622765144,"2","With",NA,"US 9"
"13",9,9.9,0.89,12999,8,0,3,5,1.89,"CAPE MAY","2 Lanes With Shoulder",39.0378540751,-74.8573698344,"2","With",NA,"US 9"
"14",9.9,11.6,1.67,12999,15,0,6,9,1.89,"CAPE MAY","2 Lanes Without Shoulder",39.0482694859,-74.8479669775,"2","Without",NA,"US 9"
"15",11.6,12,0.44,12999,4,0,3,1,1.91,"CAPE MAY","2 Lanes With Shoulder",39.0686578092,-74.8309877463,"2","With",NA,"US 9"
"16",12,12.2,0.19,13717,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.0741618898,-74.8282076127,"2","With",NA,"US 9"
"17",12.2,12.4,0.21,13717,5,0,3,2,4.74,"CAPE MAY","2 Lanes Without Shoulder",39.0768310117,-74.8266986357,"2","Without",NA,"US 9"
"18",12.4,12.8,0.38,10328,10,0,2,8,6.96,"CAPE MAY","2 Lanes Without Shoulder",39.0793458291,-74.825343299,"2","Without",NA,"US 9"
"19",12.8,13.1,0.28,10328,1,0,0,1,0.94,"CAPE MAY","3 Lanes With/Without Shoulder",39.0845888714,-74.8219542602,"3","With/Without",NA,"US 9"
"20",13.1,13.4,0.34,10328,8,0,2,6,6.22,"CAPE MAY","3 Lanes With/Without Shoulder",39.0878435673,-74.8182123802,"3","With/Without",NA,"US 9"
"21",13.4,13.9,0.55,10328,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.0911175125,-74.814687637,"2","With",NA,"US 9"
"22",13.9,15.3,1.4,8451,3,0,1,2,0.69,"CAPE MAY","2 Lanes With Shoulder",39.0977770965,-74.8127689811,"2","With",NA,"US 9"
"23",15.3,17.5,2.15,9472,9,0,4,5,1.21,"CAPE MAY","2 Lanes With Shoulder",39.1121547229,-74.7962239483,"2","With",NA,"US 9"
"24",17.5,18,0.54,9200,2,0,0,2,1.1,"CAPE MAY","2 Lanes With Shoulder",39.1375687954,-74.7723413013,"2","With",NA,"US 9"
"25",18,19.7,1.66,9200,10,0,3,7,1.79,"CAPE MAY","2 Lanes With Shoulder",39.1421870234,-74.7660353993,"2","With",NA,"US 9"
"26",19.7,20.9,1.15,8421,6,0,2,4,1.69,"CAPE MAY","2 Lanes With Shoulder",39.1619308803,-74.7492183928,"2","With",NA,"US 9"
"27",20.9,21,0.16,7430,4,0,1,3,9.19,"CAPE MAY","2 Lanes With Shoulder",39.1751759803,-74.7348110909,"2","With",NA,"US 9"
"28",21,22.4,1.38,7430,11,0,5,6,2.93,"CAPE MAY","2 Lanes With Shoulder",39.1763961489,-74.733737559,"2","With",NA,"US 9"
"29",22.4,22.5,0.11,7430,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.1921212719,-74.717810748,"2","With",NA,"US 9"
"30",22.5,23.3,0.82,7391,4,0,1,3,1.8,"CAPE MAY","2 Lanes With Shoulder",39.1934971881,-74.7172650061,"2","With",NA,"US 9"
"31",23.3,23.6,0.24,7391,1,0,0,1,1.54,"CAPE MAY","2 Lanes With Shoulder",39.2029243806,-74.7086363292,"2","With",NA,"US 9"
"32",23.6,23.6,0.08,7391,2,0,0,2,9.24,"CAPE MAY","2 Lanes With Shoulder",39.2066464174,-74.705607282,"2","With",NA,"US 9"
"33",23.6,23.8,0.18,7391,7,0,2,5,14.38,"CAPE MAY","2 Lanes With Shoulder",39.2066464174,-74.705607282,"2","With",NA,"US 9"
"34",23.8,24,0.18,7391,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.2091051222,-74.7036799711,"2","With",NA,"US 9"
"35",24,24,0.02,7391,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.2109916409,-74.7009087374,"2","With",NA,"US 9"
"36",24,24,0,7391,0,0,0,0,0,"CAPE MAY","2 Lanes With Shoulder",39.2109916409,-74.7009087374,"2","With",NA,"US 9"
